조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,통영대전중부선,343,352,1987,4,44748,1276,3646,3364,1341,360,149,33,4,59,17,11
2019,통영대전중부선,352,357,1987,4,46837,1788,4705,5085,2000,430,166,66,8,171,34,19
2019,통영대전중부선,357,362.2,1987,8,92014,3425,9912,8726,3771,1057,593,111,3,527,35,86
2019,통영대전중부선,362.2,364.6,1987,10,109716,5043,15749,14433,5217,1277,508,145,14,391,120,63
2019,제2중부선,325.9,342.5,2001,4,32186,1204,8333,5561,1865,545,182,41,0,93,2,34
2019,제2중부선,342.5,357,2001,4,44255,2702,9120,6896,2419,644,238,58,4,163,68,27
2019,평택제천선,0,2.8,2002,6,49694,1447,4006,11130,6812,3531,3008,626,51,2315,40,729
2019,평택제천선,2.8,8,2002,6,57034,1654,4658,12677,7726,3991,3409,717,52,2608,37,816
2019,평택제천선,8,13.7,2002,6,40452,1165,3292,8920,5346,2808,2349,505,40,1798,32,555
2019,평택제천선,13.7,20.9,2002,6,34145,967,2762,7540,4491,2374,1988,426,32,1512,28,476
